Client ID;Конверсия;Марка;Модель;Avg. Session Duration;Bounce Rate;Browser;City;Campaign;Date;Device Category;Domain;Goal Completion Location;Goal Completions;Goal Conversion Rate;Goal Value;Keyword;Medium;Pageviews;Region;Sessions;Source;Source conv.;Продажа;Цена;Валюта
GA1.2.1000037439.1576672694;1;BMW;;0;0,00%;YaBrowser;Yalta;(not set);17.01.2020;desktop;BMW-keyauto-krd.ru;/?keyauto_from=1;1;1;21316;(not set);referral;2;Crimea;1;BMW-keyauto-krd.ru;BMW-keyauto-krd.ru;0;;
GA1.2.1000100466.1580498751;0;Mercedes;;0,002974537;0,00%;Chrome;Simferopol;(not set);31.01.2020;mobile;Mersedes-krasnodar.ru;/;0;0;0;(not provided);organic;14;Crimea;1;google;google;0;;
GA1.2.1000144581.1577322293;0;BMW;;0,001759259;0,00%;Chrome;Krasnodar;krasnodar-BMW-tsentr-krasnodar-Q4-network-2019;01.01.2020;mobile;BMW-keyauto-krd.ru;/offers/buy/suv-winter2020/;0;0;0;(not set);sem_cpc;4;Krasnodar Krai;1;google_go_search;google_go_search;0;;
GA1.2.1000154585.1581097166;1;Mercedes;;0,000636574;0,00%;YaBrowser;Armavir;(not set);07.02.2020;mobile;Mersedes-krasnodar.ru;/;1;1;25624;(not set);referral;8;Krasnodar Krai;1;yandex.ru;yandex.ru;0;;
GA1.2.1000156589.1580366503;1;Mercedes;e220;0,006041667;0,00%;Chrome;Krasnodar;(not set);30.01.2020;mobile;Mersedes-krasnodar.ru;/special/purchase/e220/item65704166.php;1;1;44325;(not set);(none);6;Krasnodar Krai;1;(direct);(direct);0;3850000;Рубль
GA1.2.1000156620.1572694079;0;Mercedes;;0,001255787;0,00%;YaBrowser;Sevastopol;(not set);10.01.2020;desktop;Mersedes-krasnodar.ru;(entrance);0;0;0;(not set);referral;12;Sevastopol' city;2;yandex.ru;yandex.ru;0;;
GA1.2.1000156620.1572694079;0;Mercedes;;0,001255787;0,00%;YaBrowser;Sevastopol;(not set);10.01.2020;desktop;Mersedes-krasnodar.ru;/;0;0;0;(not set);referral;12;Sevastopol' city;2;yandex.ru;yandex.ru;0;;
GA1.2.1000292707.1579328888;1;Mercedes;;0,001990741;0,00%;Chrome;Sochi;36451549;18.01.2020;desktop;Mersedes-krasnodar.ru;/special/purchase/?calltouch_tm=yd_c:36451549_gb:3435681394_ad:6081170080_ph:14000399300_st:search_pt:premium_p:2_s:none_dt:desktop_reg:35_ret:_apt:none&yclid=18407548485854846592;1;1;22367;киа краснодар;cpc;8;Krasnodar Krai;1;yandex;YANDEX;0;;
GA1.2.1000341704.1580586777;0;Mercedes;e220;0;0,00%;Chrome;Krasnodar;(not set);01.02.2020;desktop;Mersedes-krasnodar.ru;/models/e220/options/;0;0;0;(not set);referral;2;Krasnodar Krai;1;yandex.ru;yandex.ru;0;3850000;Рубль
GA1.2.1000357178.1578084558;1;BMW;;0,003726852;0,00%;Firefox;Stavropol;(not set);03.01.2020;desktop;BMW-keyauto-krd.ru;/?keyauto_from=1;1;1;11861;(not set);referral;6;Stavropol Krai;1;go.mail.ru;go.mail.ru;0;;
GA1.2.1000366027.1579210553;0;BMW;;0,0003125;0,00%;Android Webview;Rostov-on-Don;(not set);17.01.2020;mobile;BMW-keyauto-krd.ru;/;0;0;0;(not provided);organic;4;Rostov Oblast;1;google;google;0;;
GA1.2.1000366027.1579210553;0;BMW;;0;0,00%;Android Webview;Rostov-on-Don;(not set);17.01.2020;mobile;cars.BMW-keyauto-krd.ru;/;0;0;0;(not set);referral;2;Rostov Oblast;1;BMW-keyauto-krd.ru;BMW-keyauto-krd.ru;0;;
GA1.2.1000383601.1580540296;1;Mercedes;;0,000972222;0,00%;Chrome;Stavropol;(not set);01.02.2020;mobile;Mersedes-krasnodar.ru;(entrance);1;1;30007;(not provided);organic;4;Stavropol Krai;1;google;google;0;;
GA1.2.1000383601.1580540296;0;Mercedes;;0;0,00%;Chrome;Stavropol;(not set);02.02.2020;mobile;Mersedes-krasnodar.ru;(entrance);0;0;0;(not provided);organic;2;Stavropol Krai;1;google;google;0;;
GA1.2.1000469963.1581322161;1;Mercedes;;0,001261574;0,00%;YaBrowser;Krasnodar;36451549;10.02.2020;desktop;Mersedes-krasnodar.ru;/special/purchase/?calltouch_tm=yd_c:36451549_gb:3435681394_ad:6081170080_ph:14000399300_st:search_pt:premium_p:2_s:none_dt:desktop_reg:35_ret:_apt:none&yclid=483330599253473482;1;1;35944;киа краснодар;cpc;4;Krasnodar Krai;1;yandex;YANDEX;0;;
GA1.2.100049596.1581770121;1;Mercedes;;0,000925926;0,00%;Chrome;Krasnodar;(not set);15.02.2020;mobile;Mersedes-krasnodar.ru;/;1;1;43055;(not provided);organic;6;Krasnodar Krai;1;google;google;0;;
GA1.2.100050473.1580143006;0;BMW;;0;0,00%;Chrome;Gelendzhik;(not set);27.01.2020;mobile;BMW-keyauto-krd.ru;/;0;0;0;(not set);organic;2;Krasnodar Krai;1;yandex;YANDEX;0;;
